INVESTPREV	SEGURADORA	S/A	Balancete	Contábil	Analítico	01/02/2020	a	29/02/2020	Folha:	1				
1.2.3.2.1.2.0.0.0	65235	SISTEMAS	APLICATIVOS	312.003,36	0	0	0	312.003,36						
														
1.2.3.2.1.2.0.0.0.0	65236	SISTEMAS	APLICATIVOS	312.003,36	0	0	0	312.003,36						
1.2.3.2.1.2.0.0.0.0.0001	130857	SISTEMAS	APLICATIVOS	312.003,36	0	0	0	312.003,36						
														
1.2.3.2.2	122228	TELECOMUNICACOES	50.604,04	0	0	0	50.604,04							
														
1.2.3.2.2.0	122344	TELECOMUNICACOES	50.604,04	0	0	0	50.604,04							
														
1.2.3.2.2.0.0	122345	TELECOMUNICACOES	50.604,04	0	0	0	50.604,04							
														
1.2.3.2.2.0.0.0	122346	TELECOMUNICACOES	50.604,04	0	0	0	50.604,04							
														
1.2.3.2.2.0.0.0.0	65237	TELECOMUNICACOES	50.604,04	0	0	0	50.604,04							
														
1.2.3.2.2.0.0.0.0.0	65238	TELECOMUNICACOES	50.604,04	0	0	0	50.604,04							
1.2.3.2.2.0.0.0.0.0.0000	103785	TELECOMUNICACOES	50.604,04	0	0	0	50.604,04							
														
1.2.3.2.3	122229	REFRIGERACAO	23.390,36	0	0	0	23.390,36							
														
1.2.3.2.3.0	122347	REFRIGERACAO	23.390,36	0	0	0	23.390,36							
														
1.2.3.2.3.0.0	122348	REFRIGERACAO	23.390,36	0	0	0	23.390,36							
														
1.2.3.2.3.0.0.0	122349	REFRIGERACAO	23.390,36	0	0	0	23.390,36							
														
1.2.3.2.3.0.0.0.0	65239	REFRIGERACAO	23.390,36	0	0	0	23.390,36							
														
1.2.3.2.3.0.0.0.0.0	65240	REFRIGERACAO	23.390,36	0	0	0	23.390,36							
1.2.3.2.3.0.0.0.0.0.0001	103794	REFRIGERACAO	23.390,36	0	0	0	23.390,36							
														
1.2.3.2.9	122231	DEPREC	ACUMULADA	/	AMORTIZ	ACUMULADA	-608.200,24	0	-4.242,04	-4.242,04	-612.442,28			
														
1.2.3.2.9.1	122232	DEPRECIACAO	ACUMULADA	-608.200,24	0	-4.242,04	-4.242,04	-612.442,28						
														
1.2.3.2.9.1.0	122353	DEPRECIACAO	ACUMULADA	-608.200,24	0	-4.242,04	-4.242,04	-612.442,28						
														
1.2.3.2.9.1.0.0	122354	DEPRECIACAO	ACUMULADA	-608.200,24	0	-4.242,04	-4.242,04	-612.442,28						
														
1.2.3.2.9.1.0.0.0	65243	DEPRECIACAO	ACUMULADA	-608.200,24	0	-4.242,04	-4.242,04	-612.442,28						
														
1.2.3.2.9.1.0.0.0.0	65244	DEPRECIACAO	ACUMULADA	-608.200,24	0	-4.242,04	-4.242,04	-612.442,28						
1.2.3.2.9.1.0.0.0.0.0001	111975	DEPREC	ACUMULADA	INFORMATICA	-306.307,10	0	-2.251,11	-2.251,11	-308.558,21					
1.2.3.2.9.1.0.0.0.0.0002	103801	DEPREC	ACUMULADA	TELECOMUNICACOES	-21.387,81	0	-421,68	-421,68	-21.809,49					
1.2.3.2.9.1.0.0.0.0.0003	103810	DEPREC	ACUMULADA	REFRIGERACAO	-10.180,07	0	-194,89	-194,89	-10.374,96					
1.2.3.2.9.1.0.0.0.0.0004	303	AMORT	ACUMULADA	SISTEMAS	E	APLICATIVOS	-270.325,26	0	-1.374,36	-1.374,36	-271.699,62			
														
1.2.3.3	122234	MOVEIS,	MAQUINAS	E	UTENSILIOS	134.513,25	2.727,11	-7.241,06	-4.513,95	129.999,30				
														
1.2.3.3.1	122235	MOVEIS,	MAQUINAS	E	UTENSILIOS	254.326,91	563,97	-5.135,64	-4.571,67	249.755,24				
														
1.2.3.3.1.0	122355	MOVEIS,	MAQUINAS	E	UTENSILIOS	254.326,91	563,97	-5.135,64	-4.571,67	249.755,24				
														
1.2.3.3.1.0.0	122356	MOVEIS,	MAQUINAS	E	UTENSILIOS	254.326,91	563,97	-5.135,64	-4.571,67	249.755,24				
														
1.2.3.3.1.0.0.0	122357	MOVEIS,	MAQUINAS	E	UTENSILIOS	254.326,91	563,97	-5.135,64	-4.571,67	249.755,24				
														
1.2.3.3.1.0.0.0.0	65245	MOVEIS,	MAQUINAS	E	UTENSILIOS	254.326,91	563,97	-5.135,64	-4.571,67	249.755,24				
														
1.2.3.3.1.0.0.0.0.0	65246	MOVEIS,	MAQUINAS	E	UTENSILIOS	254.326,91	563,97	-5.135,64	-4.571,67	249.755,24				
1.2.3.3.1.0.0.0.0.0.0001	150387	MOVEIS,	MAQUINAS	E	UTENSILIOS	254.326,91	563,97	-5.135,64	-4.571,67	249.755,24				
														
1.2.3.3.9	122236	DEPRECIACAO	ACUMULADA	-119.813,66	2.163,14	-2.105,42	57,72	-119.755,94						
														
1.2.3.3.9.0	122358	DEPRECIACAO	ACUMULADA	-119.813,66	2.163,14	-2.105,42	57,72	-119.755,94						
														
1.2.3.3.9.0.0	122359	DEPRECIACAO	ACUMULADA	-119.813,66	2.163,14	-2.105,42	57,72	-119.755,94						
														
1.2.3.3.9.0.0.0	122360	DEPRECIACAO	ACUMULADA	-119.813,66	2.163,14	-2.105,42	57,72	-119.755,94						
														
1.2.3.3.9.0.0.0.0	65247	DEPRECIACAO	ACUMULADA	-119.813,66	2.163,14	-2.105,42	57,72	-119.755,94						
														
1.2.3.3.9.0.0.0.0.0	65248	DEPRECIACAO	ACUMULADA	-119.813,66	2.163,14	-2.105,42	57,72	-119.755,94						
1.2.3.3.9.0.0.0.0.0.0001	152060	DEPREC	ACUMULADA	MOV	MAQ	UTENSILIOS	-119.813,66	2.163,14	-2.105,42	57,72	-119.755,94			
														
1.2.3.8	122244	OUTRAS	IMOBILIZACOES	216.462,12	7.184,00	-11.451,04	-4.267,04	212.195,08						
														
1.2.3.8.3	122245	BENFEITORIAS	EM	IMOVEIS	DE	TERCEIROS	348.561,61	7.184,00	0	7.184,00	355.745,61			
														
1.2.3.8.3.0	122376	BENFEITORIAS	EM	IMOVEIS	DE	TERCEIROS	348.561,61	7.184,00	0	7.184,00	355.745,61			
														
1.2.3.8.3.0.0	122377	BENFEITORIAS	EM	IMOVEIS	DE	TERCEIROS	348.561,61	7.184,00	0	7.184,00	355.745,61			
														
1.2.3.8.3.0.0.0	122378	BENFEITORIAS	EM	IMOVEIS	DE	TERCEIROS	348.561,61	7.184,00	0	7.184,00	355.745,61			
														
1.2.3.8.3.0.0.0.0	65259	BENFEITORIAS	EM	IMOVEIS	DE	TERCEIROS	348.561,61	7.184,00	0	7.184,00	355.745,61			
														
1.2.3.8.3.0.0.0.0.0	65260	BENFEITORIAS	EM	IMOVEIS	DE	TERCEIROS	348.561,61	7.184,00	0	7.184,00	355.745,61			
1.2.3.8.3.0.0.0.0.0.0001	150549	DESP	COM	BENFEIT	EM	IMOVEIS	DE	TERC	324.941,61	0	0	0	324.941,61	
1.2.3.8.3.0.0.0.0.0.0004	713	BENFEITORIAS	IMOVEIS	DE	TERC	ITAIM	BIBI	1.620,00	0	0	0	1.620,00		
1.2.3.8.3.0.0.0.0.0.0005	150551	BENFEITORIAS	IMOVEIS	TERC	EDU	CHAVES	111	22.000,00	7.184,00	0	7.184,00	29.184,00		
														
1.2.3.8.9	122247	AMORTIZACAO	/	DEPRECIACAO	ACUMULADA	-132.099,49	0	-11.451,04	-11.451,04	-143.550,53				
														
1.2.3.8.9.1	122248	AMORTIZACAO	ACUMULADA	-132.099,49	0	-11.451,04	-11.451,04	-143.550,53						
														
1.2.3.8.9.1.0	122382	AMORTIZACAO	ACUMULADA	-132.099,49	0	-11.451,04	-11.451,04	-143.550,53						
														
1.2.3.8.9.1.0.0	122383	AMORTIZACAO	ACUMULADA	-132.099,49	0	-11.451,04	-11.451,04	-143.550,53						
														
1.2.3.8.9.1.0.0.0	65263	AMORTIZACAO	ACUMULADA	-132.099,49	0	-11.451,04	-11.451,04	-143.550,53						
														
1.2.3.8.9.1.0.0.0.0	65264	AMORTIZACAO	ACUMULADA	-132.099,49	0	-11.451,04	-11.451,04	-143.550,53						
1.2.3.8.9.1.0.0.0.0.0001	120616	AMORTIZACAO	ACUMULADA	-132.099,49	0	-11.451,04	-11.451,04	-143.550,53						
														
2	205600	PASSIVO	-227.185.591,72	40.201.947,06	-34.569.357,84	5.632.589,22	-221.553.002,50							
														
2.1	200344	CIRCULANTE	-119.198.430,12	40.196.416,37	-34.563.892,41	5.632.523,96	-113.565.906,16							
2.1.1	229218	CONTAS	A	PAGAR	-24.700.051,34	10.798.234,60	-9.627.401,71	1.170.832,89	-23.529.218,45					
														
2.1.1.1	229227	OBRIGACOES	A	PAGAR	-20.981.674,23	8.527.670,01	-7.671.839,52	855.830,49	-20.125.843,74					
														
2.1.1.1.1	232638	FORNECEDORES	-225.188,63	5.776.351,74	-5.896.805,51	-120.453,77	-345.642,40							
														
2.1.1.1.1.0	49783	FORNECEDORES	-225.188,63	5.776.351,74	-5.896.805,51	-120.453,77	-345.642,40							
														
2.1.1.1.1.0.0	49798	FORNECEDORES	-225.188,63	5.776.351,74	-5.896.805,51	-120.453,77	-345.642,40							
														
2.1.1.1.1.0.0.0	49807	FORNECEDORES	-225.188,63	5.776.351,74	-5.896.805,51	-120.453,77	-345.642,40							
														
2.1.1.1.1.0.0.0.0	65277	FORNECEDORES	-225.188,63	5.776.351,74	-5.896.805,51	-120.453,77	-345.642,40							
														
2.1.1.1.1.0.0.0.0.0	65278	FORNECEDORES	-225.188,63	5.776.351,74	-5.896.805,51	-120.453,77	-345.642,40							
2.1.1.1.1.0.0.0.0.0.0002	219001	FORNECEDORES	-225.188,63	1.665.124,28	-1.785.578,05	-120.453,77	-345.642,40							
2.1.1.1.1.0.0.0.0.0.0003	305	FORNECEDORES	-	CORRETORES	0	1.909.527,95	-1.909.527,95	0	0					
2.1.1.1.1.0.0.0.0.0.0004	577	FORNECEDORES	-	SINISTROS	0	2.201.699,51	-2.201.699,51	0	0					
														
2.1.1.1.4	212810	DIVIDENDOS,	BONIFICACOES	E	JCP	A	PAGAR	-18.789.907,53	0	0	0	-18.789.907,53		
														
2.1.1.1.4.0	1106	DIVIDENDOS,	BONIFICACOES	E	JCP	A	PAGAR	-18.789.907,53	0	0	0	-18.789.907,53		
														
2.1.1.1.4.0.0	1107	DIVIDENDOS,	BONIFICACOES	E	JCP	A	PAGAR	-18.789.907,53	0	0	0	-18.789.907,53		
														
2.1.1.1.4.0.0.0	1108	DIVIDENDOS,	BONIFICACOES	E	JCP	A	PAGAR	-18.789.907,53	0	0	0	-18.789.907,53		
														
2.1.1.1.4.0.0.0.0	65279	DIVIDENDOS,	BONIFICACOES	E	JCP	A	PAGAR	-18.789.907,53	0	0	0	-18.789.907,53		
														
2.1.1.1.4.0.0.0.0.0	65280	DIVIDENDOS,	BONIFICACOES	E	JCP	A	PAGAR	-18.789.907,53	0	0	0	-18.789.907,53		
2.1.1.1.4.0.0.0.0.0.0006	212874	DIVIDENDOS	OUTROS	-18.789.907,53	0	0	0	-18.789.907,53						
														
2.1.1.1.5	205692	PARTICIPACAO	NOS	LUCROS	A	PAGAR	-1.827.316,91	976.691,87	0	976.691,87	-850.625,04			
														
2.1.1.1.5.0	116	PL	A	PAGAR	-1.827.316,91	976.691,87	0	976.691,87	-850.625,04					
														
2.1.1.1.5.0.0	117	PL	A	PAGAR	-1.827.316,91	976.691,87	0	976.691,87	-850.625,04					
														
2.1.1.1.5.0.0.0	118	PL	A	PAGAR	-1.827.316,91	976.691,87	0	976.691,87	-850.625,04					
														
2.1.1.1.5.0.0.0.0	65281	PL	A	PAGAR	-1.827.316,91	976.691,87	0	976.691,87	-850.625,04					
														
2.1.1.1.5.0.0.0.0.0	65282	PL	A	PAGAR	-1.827.316,91	976.691,87	0	976.691,87	-850.625,04					
2.1.1.1.5.0.0.0.0.0.0001	119	PL	A	PAGAR	-1.827.316,91	976.691,87	0	976.691,87	-850.625,04					
														
2.1.1.1.6	205700	HONORARIOS	REMUNERACOES/	GRATIC	A	PAGAR	0	1.654.021,10	-1.654.021,10	0	0			
2.1.1.1.6.0	1117	HONORARIOS	REMUNERACOES/	GRATIC	A	PAGAR	0	1.654.021,10	-1.654.021,10	0	0			
														
2.1.1.1.6.0.0	1118	HONORARIOS	REMUNERACOES/	GRATIC	A	PAGAR	0	1.654.021,10	-1.654.021,10	0	0			
														
2.1.1.1.6.0.0.0	1119	HONORARIOS	REMUNERACOES/	GRATIC	A	PAGAR	0	1.654.021,10	-1.654.021,10	0	0			
														
2.1.1.1.6.0.0.0.0	65283	HONORARIOS	REMUNERACOES/	GRATIC	A	PAGAR	0	1.654.021,10	-1.654.021,10	0	0			
														
2.1.1.1.6.0.0.0.0.0	65284	HONORARIOS	REMUNERACOES/	GRATIC	A	PAGAR	0	1.654.021,10	-1.654.021,10	0	0			
2.1.1.1.6.0.0.0.0.0.0001	216357	SALARIOS	0	1.583.013,61	-1.583.013,61	0	0							
2.1.1.1.6.0.0.0.0.0.0002	216366	RESCISAO	CONTRATO	DE	TRABALHO	0	71.007,49	-71.007,49	0	0				
														
2.1.1.1.9	232656	OUTRAS	OBRIGACOES	A	PAGAR	-139.261,16	120.605,30	-121.012,91	-407,61	-139.668,77				
														
2.1.1.1.9.8	220162	OUTRAS	OBRIGACOES	-139.261,16	120.605,30	-121.012,91	-407,61	-139.668,77						
														
2.1.1.1.9.8.0	43829	OUTRAS	OBRIGACOES	-139.261,16	120.605,30	-121.012,91	-407,61	-139.668,77						
														
2.1.1.1.9.8.0.0	43834	OUTRAS	OBRIGACOES	-139.261,16	120.605,30	-121.012,91	-407,61	-139.668,77						
														
2.1.1.1.9.8.0.0.0	65285	OUTRAS	OBRIGACOES	-139.261,16	120.605,30	-121.012,91	-407,61	-139.668,77						
														
2.1.1.1.9.8.0.0.0.0	65286	OUTRAS	OBRIGACOES	-139.261,16	120.605,30	-121.012,91	-407,61	-139.668,77						
2.1.1.1.9.8.0.0.0.0.0006	213378	OUTROS	-9.102,75	0	0	0	-9.102,75							
2.1.1.1.9.8.0.0.0.0.0009	219057	SINDICATO	-148	206	-206	0	-148							
2.1.1.1.9.8.0.0.0.0.0033	211033	INVESTPREV	SEGUROS	E	PREVID	S/A	0	0	-3,02	-3,02	-3,02			
2.1.1.1.9.8.0.0.0.0.0041	221	IRB	-	ACERTO	DE	CONTAS	128,07	19,6	-151,34	-131,74	-3,67			
2.1.1.1.9.8.0.0.0.0.0043	369	IMPOSTOS	INDEVIDOS	-610,48	0	-0,61	-0,61	-611,09						
2.1.1.1.9.8.0.0.0.0.0053	490	CUSTO	DE	APÓLICE	A	DEVOLVER	-8.861,28	0	0	0	-8.861,28			
2.1.1.1.9.8.0.0.0.0.0055	529	SEGURO	-	DESCONTO	EM	FOLHA	-272,24	0	-272,24	-272,24	-544,48			
2.1.1.1.9.8.0.0.0.0.0062	699	CEF	SINISTRO	1,0075E+12	-14,78	0	0	0	-14,78					
2.1.1.1.9.8.0.0.0.0.0063	720	BANCO	MAXIMA	-120.379,70	120.379,70	-120.379,70	0	-120.379,70						
														
2.1.1.2	229254	IMPOSTOS	E	ENCARGOS	SOCIAIS	RECOLHER	-2.348.591,76	1.831.017,03	-1.835.243,41	-4.226,38	-2.352.818,14			
2.1.1.2.1	229263	IMPOSTO	DE	RENDA	RETIDO	DE	FUNCIONARIOS	-40.402,16	40.402,16	-157.870,11	-117.467,95	-157.870,11		
														
2.1.1.2.2	229272	IMPOSTO	DE	RENDA	RETIDO	DE	TERCEIROS	-21.668,69	21.744,24	-15.914,36	5.829,88	-15.838,81		
														
2.1.1.2.2.0	1156	IMPOSTO	DE	RENDA	RETIDO	DE	TERCEIROS	-21.668,69	21.744,24	-15.914,36	5.829,88	-15.838,81		
														
2.1.1.2.2.0.0	1157	IMPOSTO	DE	RENDA	RETIDO	DE	TERCEIROS	-21.668,69	21.744,24	-15.914,36	5.829,88	-15.838,81		
														
2.1.1.2.2.0.0.0	1158	IMPOSTO	DE	RENDA	RETIDO	DE	TERCEIROS	-21.668,69	21.744,24	-15.914,36	5.829,88	-15.838,81		
														
2.1.1.2.2.0.0.0.0	65287	IMPOSTO	DE	RENDA	RETIDO	DE	TERCEIROS	-21.668,69	21.744,24	-15.914,36	5.829,88	-15.838,81		
														
2.1.1.2.2.0.0.0.0.0	65288	IMPOSTO	DE	RENDA	RETIDO	DE	TERCEIROS	-21.668,69	21.744,24	-15.914,36	5.829,88	-15.838,81		
2.1.1.2.2.0.0.0.0.0.0001	229281	IR	RETIDO	DE	TERCEIROS	P.J.	-4.613,70	4.114,55	-2.660,93	1.453,62	-3.160,08			
2.1.1.2.2.0.0.0.0.0.0006	214006	IR	RETIDO	TERCEIROS	P.F.-	COD	588	-5.553,24	5.553,25	-1.320,15	4.233,10	-1.320,14		
2.1.1.2.2.0.0.0.0.0.0009	211229	IR	RETIDO	S/ALUGUEL	-	COD	3208	-57,97	57,97	-57,97	0	-57,97		
2.1.1.2.2.0.0.0.0.0.0011	7	IR	RETIDO	COOPERADAS	-	COD.	3280	-21,63	21,63	-18,31	3,32	-18,31		
2.1.1.2.2.0.0.0.0.0.0012	17	IR	RETIDO	TERCEIROS	EXTERIOR	-	COD.	473	548,76	0	-548,76	-548,76	0	
2.1.1.2.2.0.0.0.0.0.0014	310	IRRF	DE	COMISSÕES	PJ	-	CÓDIGO	8045	-10.263,03	10.288,96	-9.578,36	710,6	-9.552,43	
2.1.1.2.2.0.0.0.0.0.0015	381	IR	RETIDO	BENEF	PREV	COMPLEM	-	COD	3540	-1.707,88	1.707,88	-1.729,88	-22	-1.729,88
														
2.1.1.2.3	229308	IMPOSTO	SOBRE	SERVICOS	RETIDO	-62.966,85	37.798,15	-35.423,30	2.374,85	-60.592,00				
														
2.1.1.2.3.0	1165	IMPOSTO	SOBRE	SERVICOS	RETIDO	-62.966,85	37.798,15	-35.423,30	2.374,85	-60.592,00				
														
2.1.1.2.3.0.0	1166	IMPOSTO	SOBRE	SERVICOS	RETIDO	-62.966,85	37.798,15	-35.423,30	2.374,85	-60.592,00				
														
2.1.1.2.3.0.0.0	1167	IMPOSTO	SOBRE	SERVICOS	RETIDO	-62.966,85	37.798,15	-35.423,30	2.374,85	-60.592,00				
														
2.1.1.2.3.0.0.0.0	65289	IMPOSTO	SOBRE	SERVICOS	RETIDO	-62.966,85	37.798,15	-35.423,30	2.374,85	-60.592,00				
														
2.1.1.2.3.0.0.0.0.0	65290	IMPOSTO	SOBRE	SERVICOS	RETIDO	-62.966,85	37.798,15	-35.423,30	2.374,85	-60.592,00				
2.1.1.2.3.0.0.0.0.0.0010	201759	IMPOSTO	SOBRE	SERVICOS	RETIDOS	-30.069,02	14.369,02	-13.643,51	725,51	-29.343,51				
2.1.1.2.3.0.0.0.0.0.0011	725	ISS	-	CAMPINAS	-4.991,14	2.889,88	-2.333,69	556,19	-4.434,95					
2.1.1.2.3.0.0.0.0.0.0012	727	ISS	-	POA	-12.825,23	12.803,97	-12.734,95	69,02	-12.756,21					
2.1.1.2.3.0.0.0.0.0.0013	728	ISS	-	BH	-4.568,83	4.538,18	-4.344,00	194,18	-4.374,65					
2.1.1.2.3.0.0.0.0.0.0014	729	ISS	-	RJ	-753,75	1.121,76	-496,58	625,18	-128,57					
2.1.1.2.3.0.0.0.0.0.0015	730	ISS	-	CTBA	-34,99	48,94	-25,99	22,95	-12,04					
2.1.1.2.3.0.0.0.0.0.0016	731	ISS	-	SC	-5.287,12	0	0	0	-5.287,12					
2.1.1.2.3.0.0.0.0.0.0017	732	ISS	-	CE	-3.893,88	2.026,40	-1.844,58	181,82	-3.712,06					
2.1.1.2.3.0.0.0.0.0.0018	733	ISS	-	POA	MATRIZ	-542,89	0	0	0	-542,89				
														
2.1.1.2.4	229317	IMPOSTO	SOBRE	OPERACOES	FINANCEIRAS	-1.997.957,15	1.469.413,30	-1.350.083,02	119.330,28	-1.878.626,87				
														
2.1.1.2.4.0	50659	IMPOSTO	SOBRE	OPERACOES	FINANCEIRAS	-1.997.957,15	1.469.413,30	-1.350.083,02	119.330,28	-1.878.626,87				
														
2.1.1.2.4.0.0	50664	IMPOSTO	SOBRE	OPERACOES	FINANCEIRAS	-1.997.957,15	1.469.413,30	-1.350.083,02	119.330,28	-1.878.626,87				
														
2.1.1.2.4.0.0.0	50679	IMPOSTO	SOBRE	OPERACOES	FINANCEIRAS	-1.997.957,15	1.469.413,30	-1.350.083,02	119.330,28	-1.878.626,87				
														
2.1.1.2.4.0.0.0.0	65291	IMPOSTO	SOBRE	OPERACOES	FINANCEIRAS	-1.997.957,15	1.469.413,30	-1.350.083,02	119.330,28	-1.878.626,87				
														
2.1.1.2.4.0.0.0.0.0	65292	IMPOSTO	SOBRE	OPERACOES	FINANCEIRAS	-1.997.957,15	1.469.413,30	-1.350.083,02	119.330,28	-1.878.626,87				
2.1.1.2.4.0.0.0.0.0.0001	211024	IOF	S/	PREMIO	EMITIDO	-1.746.537,47	765.143,03	-750.863,38	14.279,65	-1.732.257,82				
2.1.1.2.4.0.0.0.0.0.0002	52	IOF	A	RECOLHER	-251.419,68	704.270,27	-599.219,64	105.050,63	-146.369,05					
														
2.1.1.2.5	212487	CONTRIBUICOES	PREVIDENCIARIAS	-173.384,99	177.059,27	-199.405,91	-22.346,64	-195.731,63						
														
2.1.1.2.5.0	1171	CONTRIBUICOES	PREVIDENCIARIAS	-173.384,99	177.059,27	-199.405,91	-22.346,64	-195.731,63						
														
2.1.1.2.5.0.0	1172	CONTRIBUICOES	PREVIDENCIARIAS	-173.384,99	177.059,27	-199.405,91	-22.346,64	-195.731,63						
														
2.1.1.2.5.0.0.0	1173	CONTRIBUICOES	PREVIDENCIARIAS	-173.384,99	177.059,27	-199.405,91	-22.346,64	-195.731,63						
														
2.1.1.2.5.0.0.0.0	65293	CONTRIBUICOES	PREVIDENCIARIAS	-173.384,99	177.059,27	-199.405,91	-22.346,64	-195.731,63						
														
2.1.1.2.5.0.0.0.0.0	65294	CONTRIBUICOES	PREVIDENCIARIAS	-173.384,99	177.059,27	-199.405,91	-22.346,64	-195.731,63						
2.1.1.2.5.0.0.0.0.0.0001	229326	CONTRIB	PREV	(INSS)	S/FOLPAG	-158.896,02	164.990,30	-191.795,65	-26.805,35	-185.701,37				
2.1.1.2.5.0.0.0.0.0.0002	211299	CONTRIB	PREV	(INSS)	S/TERCEIROS	-14.488,97	12.068,97	-7.610,26	4.458,71	-10.030,26				
														
2.1.1.2.6	235527	CONTRIBUICOES	PARA	O	FGTS	-35.473,43	67.566,47	-65.784,86	1.781,61	-33.691,82				
														
2.1.1.2.6.0	1177	CONTRIBUICOES	PARA	O	FGTS	-35.473,43	67.566,47	-65.784,86	1.781,61	-33.691,82				
														
2.1.1.2.6.0.0	1178	CONTRIBUICOES	PARA	O	FGTS	-35.473,43	67.566,47	-65.784,86	1.781,61	-33.691,82				
														
2.1.1.2.6.0.0.0	1179	CONTRIBUICOES	PARA	O	FGTS	-35.473,43	67.566,47	-65.784,86	1.781,61	-33.691,82				
														
2.1.1.2.6.0.0.0.0	65295	CONTRIBUICOES	PARA	O	FGTS	-35.473,43	67.566,47	-65.784,86	1.781,61	-33.691,82				
														
2.1.1.2.6.0.0.0.0.0	65296	CONTRIBUICOES	PARA	O	FGTS	-35.473,43	67.566,47	-65.784,86	1.781,61	-33.691,82				
2.1.1.2.6.0.0.0.0.0.0001	229335	CONTRIBUICOES	PARA	O	FGTS	-35.473,43	67.566,47	-65.784,86	1.781,61	-33.691,82				
														
2.1.1.2.8	229353	OUTROS	IMPOSTOS	E	ENCARGOS	SOCIAIS	-16.738,49	17.033,44	-10.761,85	6.271,59	-10.466,90			
														
2.1.1.2.8.0	1182	OUTROS	IMPOSTOS	E	ENCARGOS	SOCIAIS	-16.738,49	17.033,44	-10.761,85	6.271,59	-10.466,90			
														
2.1.1.2.8.0.0	1183	OUTROS	IMPOSTOS	E	ENCARGOS	SOCIAIS	-16.738,49	17.033,44	-10.761,85	6.271,59	-10.466,90			
														
2.1.1.2.8.0.0.0	1184	OUTROS	IMPOSTOS	E	ENCARGOS	SOCIAIS	-16.738,49	17.033,44	-10.761,85	6.271,59	-10.466,90			
														
2.1.1.2.8.0.0.0.0	65297	OUTROS	IMPOSTOS	E	ENCARGOS	SOCIAIS	-16.738,49	17.033,44	-10.761,85	6.271,59	-10.466,90			
														
2.1.1.2.8.0.0.0.0.0	65298	OUTROS	IMPOSTOS	E	ENCARGOS	SOCIAIS	-16.738,49	17.033,44	-10.761,85	6.271,59	-10.466,90			
2.1.1.2.8.0.0.0.0.0.0001	212685	PIS	-	COFINS	-	CSLL	-16.738,49	17.033,44	-10.761,85	6.271,59	-10.466,90			
														
2.1.1.3	229362	ENCARGOS	TRABALHISTAS	-737.744,29	79.898,95	-112.970,17	-33.071,22	-770.815,51						
2.1.1.3.1	229371	PROVISÃO	DE	13	SALARIO	-35.052,90	3.523,23	-35.978,12	-32.454,89	-67.507,79				
2.1.1.3.2	229380	PROVISÃO	DE	FERIAS	-516.767,15	56.236,58	-48.528,80	7.707,78	-509.059,37					
														
2.1.1.3.3	229390	ENCARGOS	SOCIAIS	A	RECOLHER	-185.924,24	20.139,14	-28.463,25	-8.324,11	-194.248,35				
														
2.1.1.3.3.0	1193	PROVISAO	PARA	ENCARGOS	SOCIAIS	-185.924,24	20.139,14	-28.463,25	-8.324,11	-194.248,35				
														
2.1.1.3.3.0.0	1194	PROVISAO	PARA	ENCARGOS	SOCIAIS	-185.924,24	20.139,14	-28.463,25	-8.324,11	-194.248,35				
														
2.1.1.3.3.0.0.0	1195	PROVISAO	PARA	ENCARGOS	SOCIAIS	-185.924,24	20.139,14	-28.463,25	-8.324,11	-194.248,35				
														
2.1.1.3.3.0.0.0.0	65299	PROVISAO	PARA	ENCARGOS	SOCIAIS	-185.924,24	20.139,14	-28.463,25	-8.324,11	-194.248,35				
														
2.1.1.3.3.0.0.0.0.0	65300	PROVISAO	PARA	ENCARGOS	SOCIAIS	-185.924,24	20.139,14	-28.463,25	-8.324,11	-194.248,35				
2.1.1.3.3.0.0.0.0.0.0001	211333	INSS	S	/	FERIAS	-132.809,11	14.452,79	-12.471,90	1.980,89	-130.828,22				
2.1.1.3.3.0.0.0.0.0.0002	211342	FGTS	S	/	FERIAS	-41.305,61	4.498,92	-3.873,37	625,55	-40.680,06				
2.1.1.3.3.0.0.0.0.0.0003	211351	INSS	S/	13	SALARIO	-9.008,60	905,46	-9.246,37	-8.340,91	-17.349,51				
2.1.1.3.3.0.0.0.0.0.0004	211360	FGTS	S	/	13	SALARIO	-2.800,92	281,97	-2.871,61	-2.589,64	-5.390,56			
														
2.1.1.6	229499	PROVISAO	P/	IMPOSTOS	E	CONTRIBUICOES	-597.171,21	348.752,99	-7.283,61	341.469,38	-255.701,83			
														
2.1.1.6.1	228174	IMPOSTO	DE	RENDA	-160.387,84	0	0	0	-160.387,84					
														
2.1.1.6.1.0	1216	IMPOSTO	DE	RENDA	-160.387,84	0	0	0	-160.387,84					
														
2.1.1.6.1.0.0	1217	IMPOSTO	DE	RENDA	-160.387,84	0	0	0	-160.387,84					
														
2.1.1.6.1.0.0.0	1218	IMPOSTO	DE	RENDA	-160.387,84	0	0	0	-160.387,84					
														
2.1.1.6.1.0.0.0.0	65303	IMPOSTO	DE	RENDA	-160.387,84	0	0	0	-160.387,84					
														
2.1.1.6.1.0.0.0.0.0	65304	IMPOSTO	DE	RENDA	-160.387,84	0	0	0	-160.387,84					
2.1.1.6.1.0.0.0.0.0.0001	201678	IRPJ	LALUR	-160.387,84	0	0	0	-160.387,84						
														
2.1.1.6.2	229920	CONTRIBUICAO	SOCIAL	-94.578,59	0	0	0	-94.578,59						
														
2.1.1.6.2.0	1222	CONTRIBUICAO	SOCIAL	-94.578,59	0	0	0	-94.578,59						
														
